bill 已知	账单法案
provided 已知	翻译出错，请更新
pulled 已知	翻译出错，请更新
punishment 已知	翻译出错，请更新
questioned 已知	翻译出错，请更新
rebuked 已知	翻译出错，请更新
receipt 已知	翻译出错，请更新
recognised 已知	翻译出错，请更新
regular 已知	翻译出错，请更新
relatives 已知	翻译出错，请更新
reminding 已知	翻译出错，请更新
repay 已知	翻译出错，请更新
repeat 已知	翻译出错，请更新
revenge 已知	翻译出错，请更新
rides 已知	翻译出错，请更新
riot 已知	翻译出错，请更新
risen 已知	翻译出错，请更新
route 已知	翻译出错，请更新
royal 已知	皇家
ruffian 已知	翻译出错，请更新
savagely 已知	翻译出错，请更新
scheme 已知	翻译出错，请更新
school 已知	翻译出错，请更新
scolding 已知	翻译出错，请更新
seeming 已知	翻译出错，请更新
selection 已知	翻译出错，请更新
semipolitical 已知	翻译出错，请更新
sentences 已知	翻译出错，请更新
separation 已知	翻译出错，请更新
serving 已知	翻译出错，请更新
seventeen 已知	十七
seventy 已知	翻译出错，请更新
shaken 已知	翻译出错，请更新
shape 已知	翻译出错，请更新
shell 已知	翻译出错，请更新
shortly 已知	翻译出错，请更新
shows 已知	翻译出错，请更新
shut 已知	翻译出错，请更新
signify 已知	翻译出错，请更新
silk 已知	翻译出错，请更新
sincere 已知	翻译出错，请更新
singular 已知	翻译出错，请更新
sins 已知	翻译出错，请更新
sittingroom 已知	翻译出错，请更新
smokingroom 已知	翻译出错，请更新
sober 已知	翻译出错，请更新
solemnity 已知	翻译出错，请更新
sources 已知	翻译出错，请更新
stable 已知	翻译出错，请更新
stands 已知	翻译出错，请更新
stars 已知	翻译出错，请更新
statesman 已知	翻译出错，请更新
stones 已知	翻译出错，请更新
stories 已知	翻译出错，请更新
strain 已知	翻译出错，请更新
striving 已知	翻译出错，请更新
strove 已知	翻译出错，请更新
stupid 已知	翻译出错，请更新
submitted 已知	翻译出错，请更新
sum 已知	翻译出错，请更新
superiors 已知	翻译出错，请更新
supporter 已知	翻译出错，请更新
supposing 已知	翻译出错，请更新
swearing 已知	翻译出错，请更新
tables 已知	翻译出错，请更新
tailor 已知	翻译出错，请更新
taunted 已知	翻译出错，请更新
tend 已知	翻译出错，请更新
tendency 已知	翻译出错，请更新
tendered 已知	翻译出错，请更新
theories 已知	翻译出错，请更新
theyve 已知	他们有
thin 已知	翻译出错，请更新
transfer 已知	翻译出错，请更新
treasure 已知	翻译出错，请更新
trusting 已知	翻译出错，请更新
ugly 已知	翻译出错，请更新
uncourteous 已知	翻译出错，请更新
unfitted 已知	翻译出错，请更新
unhappiness 已知	翻译出错，请更新
upwards 已知	翻译出错，请更新
utmost 已知	翻译出错，请更新
valuable 已知	翻译出错，请更新
wall 已知	翻译出错，请更新
walls 已知	翻译出错，请更新
warmth 已知	翻译出错，请更新
waterfall 已知	翻译出错，请更新
wellnigh 已知	翻译出错，请更新
wheels 已知	翻译出错，请更新
whence 已知	翻译出错，请更新
wholly 已知	翻译出错，请更新
widow 已知	翻译出错，请更新
wing 已知	翻译出错，请更新
wings 已知	翻译出错，请更新
wiser 已知	翻译出错，请更新
withdrawn 已知	翻译出错，请更新
wondered 已知	翻译出错，请更新
works 已知	翻译出错，请更新
youngest 已知	翻译出错，请更新
zeal 已知	翻译出错，请更新
America 已知	翻译出错，请更新
Another 已知	翻译出错，请更新
April 已知	翻译出错，请更新
Beans 已知	翻译出错，请更新
Bedford 已知	翻译出错，请更新
Bench 已知	翻译出错，请更新
Between 已知	翻译出错，请更新
Both 已知	翻译出错，请更新
Bruges 已知	翻译出错，请更新
Carlisle 已知	翻译出错，请更新
Catholic 已知	翻译出错，请更新
Coldfoot 已知	翻译出错，请更新
Council 已知	翻译出错，请更新
Dover 已知	翻译出错，请更新
East 已知	翻译出错，请更新
Ennis 已知	翻译出错，请更新
Equity 已知	翻译出错，请更新
Faint 已知	翻译出错，请更新
Fancy 已知	翻译出错，请更新
General 已知	翻译出错，请更新
Guards 已知	翻译出错，请更新
Harry 已知	翻译出错，请更新
Havent 已知	翻译出错，请更新
Hon 已知	翻译出错，请更新
Horns 已知	翻译出错，请更新
Hundreds 已知	翻译出错，请更新
James 已知	翻译出错，请更新
Kent 已知	翻译出错，请更新
Life 已知	翻译出错，请更新
Lincolnshire 已知	翻译出错，请更新
Looking 已知	翻译出错，请更新
Love 已知	翻译出错，请更新
Lower 已知	翻译出错，请更新
Many 已知	翻译出错，请更新
Mayo 已知	翻译出错，请更新
Money 已知	翻译出错，请更新
Newmarket 已知	翻译出错，请更新
Nonsense 已知	翻译出错，请更新
Northamptonshire 已知	翻译出错，请更新
OB 已知	翻译出错，请更新
OC 已知	翻译出错，请更新
OD 已知	翻译出错，请更新
OShaughnessy 已知	翻译出错，请更新
Phinny 已知	翻译出错，请更新
Planty 已知	翻译出错，请更新
Privy 已知	翻译出错，请更新
Radicals 已知	翻译出错，请更新
Rumours 已知	翻译出错，请更新
Seal 已知	翻译出错，请更新
Send 已知	翻译出错，请更新
Shakspeare 已知	翻译出错，请更新
Shall 已知	翻译出错，请更新
Shannon 已知	翻译出错，请更新
Sometimes 已知	翻译出错，请更新
Soon 已知	翻译出错，请更新
Stamford 已知	翻译出错，请更新
Tenant 已知	翻译出错，请更新
Therefore 已知	翻译出错，请更新
Three 已知	翻译出错，请更新
Thrift 已知	翻译出错，请更新
United 已知	翻译出错，请更新
ViceChancellors 已知	翻译出错，请更新
War 已知	翻译出错，请更新
Windsor 已知	翻译出错，请更新
Within 已知	翻译出错，请更新
Youve 已知	翻译出错，请更新
abruptly 已知	翻译出错，请更新
abstain 已知	翻译出错，请更新
abstained 已知	翻译出错，请更新
abstract 已知	翻译出错，请更新
absurdity 已知	翻译出错，请更新
accompany 已知	翻译出错，请更新
accomplished 已知	翻译出错，请更新
accord 已知	翻译出错，请更新
accurate 已知	翻译出错，请更新
accurately 已知	翻译出错，请更新
accuse 已知	翻译出错，请更新
achieve 已知	翻译出错，请更新
actual 已知	翻译出错，请更新
actually 已知	翻译出错，请更新
addition 已知	翻译出错，请更新
adopted 已知	翻译出错，请更新
advance 已知	翻译出错，请更新
adventurer 已知	翻译出错，请更新
adversary 已知	翻译出错，请更新
advised 已知	翻译出错，请更新
affections 已知	翻译出错，请更新
afloat 已知	翻译出错，请更新
agricultural 已知	翻译出错，请更新
altered 已知	翻译出错，请更新
amuse 已知	翻译出错，请更新
angrily 已知	翻译出错，请更新
animosity 已知	翻译出错，请更新
apologise 已知	翻译出错，请更新
apply 已知	翻译出错，请更新
approached 已知	翻译出错，请更新
appropriate 已知	翻译出错，请更新
arisen 已知	翻译出错，请更新
arrogance 已知	翻译出错，请更新
arrows 已知	翻译出错，请更新
art 已知	翻译出错，请更新
assembled 已知	翻译出错，请更新
assume 已知	翻译出错，请更新
astonishing 已知	翻译出错，请更新
ate 已知	翻译出错，请更新
attacked 已知	翻译出错，请更新
attacks 已知	翻译出错，请更新
attractive 已知	翻译出错，请更新
attributed 已知	翻译出错，请更新
audible 已知	翻译出错，请更新
awfully 已知	翻译出错，请更新
banished 已知	翻译出错，请更新
bargain 已知	翻译出错，请更新
batteries 已知	翻译出错，请更新
beard 已知	翻译出错，请更新
beasts 已知	翻译出错，请更新
beating 已知	翻译出错，请更新
bedroom 已知	翻译出错，请更新
beer 已知	翻译出错，请更新
believes 已知	翻译出错，请更新
bend 已知	翻译出错，请更新
bent 已知	翻译出错，请更新
bishops 已知	翻译出错，请更新
bitterest 已知	翻译出错，请更新
bitterly 已知	翻译出错，请更新
bitterness 已知	翻译出错，请更新
blackguard 已知	翻译出错，请更新
bloom 已知	翻译出错，请更新
blush 已知	翻译出错，请更新
board 已知	翻译出错，请更新
boldfaced 已知	翻译出错，请更新
bonds 已知	翻译出错，请更新
bone 已知	翻译出错，请更新
borne 已知	翻译出错，请更新
bottle 已知	翻译出错，请更新
braes 已知	丘陵
brains 已知	翻译出错，请更新
bridges 已知	翻译出错，请更新
brightness 已知	翻译出错，请更新
brook 已知	小溪
busy 已知	翻译出错，请更新
butter 已知	翻译出错，请更新
bye 已知	翻译出错，请更新
calumet 已知	翻译出错，请更新
canvass 已知	翻译出错，请更新
capital 已知	翻译出错，请更新
cats 已知	翻译出错，请更新
cautious 已知	翻译出错，请更新
ceremony 已知	翻译出错，请更新
cheering 已知	翻译出错，请更新
cheery 已知	翻译出错，请更新
chess 已知	翻译出错，请更新
city 已知	翻译出错，请更新
clearness 已知	翻译出错，请更新
climb 已知	翻译出错，请更新
clothes 已知	翻译出错，请更新
coach 已知	翻译出错，请更新
combat 已知	翻译出错，请更新
combination 已知	翻译出错，请更新
combine 已知	翻译出错，请更新
comeliness 已知	翻译出错，请更新
commencement 已知	翻译出错，请更新
compensation 已知	翻译出错，请更新
complaining 已知	翻译出错，请更新
completely 已知	翻译出错，请更新
compliance 已知	翻译出错，请更新
conceal 已知	翻译出错，请更新
conclusion 已知	翻译出错，请更新
confidential 已知	翻译出错，请更新
congratulations 已知	翻译出错，请更新
conquered 已知	翻译出错，请更新
consciousness 已知	翻译出错，请更新
constrained 已知	翻译出错，请更新
contact 已知	翻译出错，请更新
contempt 已知	翻译出错，请更新
controlled 已知	翻译出错，请更新
convenience 已知	翻译出错，请更新
convenient 已知	翻译出错，请更新
convince 已知	翻译出错，请更新
cool 已知	翻译出错，请更新
cordially 已知	翻译出错，请更新
counselled 已知	翻译出错，请更新
countrys 已知	翻译出错，请更新
courtesy 已知	翻译出错，请更新
covering 已知	翻译出错，请更新
crisis 已知	翻译出错，请更新
crying 已知	翻译出错，请更新
custody 已知	翻译出错，请更新
custom 已知	翻译出错，请更新
dash 已知	翻译出错，请更新
daughterinlaw 已知	翻译出错，请更新
dearer 已知	翻译出错，请更新
